grid_id,grid_latitude,grid_longitude,target_month,score,probability,risk_tier,rank
1171_374,51.55355186918284,0.6779104432404722,2026-01-01,0.09279597911681223,0.010964557276442678,Low,10717
1005_412,51.7455384331934,-0.5131190626868694,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10718
861_520,52.23958544482252,-1.551102793434206,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10719
869_419,51.7853368514298,-1.4976350536022185,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10720
902_414,51.761596429959845,-1.2588223972365975,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10721
918_442,51.88666813601085,-1.1405294820153251,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10722
955_522,52.24395237496759,-0.8626866546754415,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10723
966_424,51.80270546530858,-0.7940549278199424,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10724
966_480,52.05439185986919,-0.787290814346232,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10725
968_480,52.054240938793264,-0.7727103671203558,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10726
973_478,52.04486731576834,-0.7365133343378398,2026-01-01,0.09279400811685219,0.010964308612737152,Low,10727
714_776,53.389347420478565,-2.644257184399759,2026-01-01,0.0927905049760397,0.010963866654376589,Low,10728
804_608,52.635994674437136,-1.9681876601339567,2026-01-01,0.09278356484013323,0.010962991090432802,Low,10729
806_604,52.61801035859655,-1.953430230580283,2026-01-01,0.09278356484013323,0.010962991090432802,Low,10730
693_185,50.731912642759625,-2.7558829001857883,2026-01-01,0.09276218185251042,0.01096029348893368,Low,10731
802_218,50.88273997377604,-1.9836013105634327,2026-01-01,0.09274933804985322,0.010958673207837596,Low,10732
1061_286,51.173549726023474,-0.1310359605271185,2026-01-01,0.0927158256429818,0.010954445692383531,Low,10733
1140_322,51.32487182178547,0.4420707215489188,2026-01-01,0.09271399507797977,0.010954214777642485,Low,10734
887_1042,54.58456390648685,-1.3245759047294023,2026-01-01,0.09271292238285747,0.0109540794639534,Low,10735
912_906,53.97226802878258,-1.1439444143014117,2026-01-01,0.0927079347893287,0.010953450313898846,Low,10736
839_1128,54.97247887740479,-1.693005921373356,2026-01-01,0.09268693015946022,0.010950800785373008,Low,10737
846_1132,54.99030071685506,-1.638170127235575,2026-01-01,0.09268693015946022,0.010950800785373008,Low,10738
847_1133,54.994770231938055,-1.630314794984986,2026-01-01,0.09268693015946022,0.010950800785373008,Low,10739
692_925,54.057883185765,-2.82260645785102,2026-01-01,0.09268666150696456,0.010950766898103767,Low,10740
721_365,51.54227332855382,-2.5673609520903105,2026-01-01,0.09268038367443474,0.010949975029731369,Low,10741
716_812,53.55120993240669,-2.631620502160052,2026-01-01,0.0926549094163116,0.010946761864444888,Low,10742
874_233,50.94898754060417,-1.4711109019997648,2026-01-01,0.09265411957649589,0.010946662241167473,Low,10743
1050_427,51.80836480953032,-0.1846752437746364,2026-01-01,0.09263958652100227,0.01094482919643066,Low,10744
695_770,53.36152772323644,-2.7865894305543883,2026-01-01,0.09263656348099947,0.010944447908085547,Low,10745
1156_369,51.53351359852248,0.5685827514739802,2026-01-01,0.09263398198032156,0.010944122311526975,Low,10746
691_778,53.39727653658723,-2.8173271586842845,2026-01-01,0.09263096482089962,0.010943741768516901,Low,10747
839_1172,55.17016908971805,-1.6914900428322843,2026-01-01,0.09262151466006605,0.01094254986780897,Low,10748
1273_329,51.33252478699586,1.39726615424207,2026-01-01,0.09259775943551478,0.01093955382694953,Low,10749
1056_290,51.19209003815155,-0.1660647444456569,2026-01-01,0.09259202030064839,0.010938830017731393,Low,10750
642_1343,55.93233831720878,-3.2620454354098363,2026-01-01,0.09258158893457878,0.010937514450997898,Low,10751
862_1163,55.12914388205283,-1.5114543470429098,2026-01-01,0.09256599585991558,0.01093554795155896,Low,10752
1200_324,51.32409104779259,0.8726598871627557,2026-01-01,0.09255144596252526,0.010933713058120952,Low,10753
1277_330,51.336177109725206,1.4262570512084325,2026-01-01,0.09255144596252526,0.010933713058120952,Low,10754
854_1031,54.5362925684283,-1.5803760565655036,2026-01-01,0.09255105544928109,0.010933663810964719,Low,10755
869_1113,54.90426843041489,-1.4595957363266228,2026-01-01,0.09255105544928109,0.010933663810964719,Low,10756
877_1114,54.90846806852962,-1.397151514455704,2026-01-01,0.09255105544928109,0.010933663810964719,Low,10757
879_1112,54.8994039642756,-1.3816933282732478,2026-01-01,0.09255105544928109,0.010933663810964719,Low,10758
1122_606,52.60310776533417,0.3796574669575982,2026-01-01,0.09255056182160278,0.010933601560217917,Low,10759
1116_273,51.10820511820405,0.259191208585767,2026-01-01,0.09251303891292796,0.010928869748059207,Low,10760
709_867,53.79807532166765,-2.6884629930676454,2026-01-01,0.09250111446789362,0.010927366083774526,Low,10761
1017_398,51.68149309299251,-0.4284285974072594,2026-01-01,0.09249850777162869,0.010927037385243627,Low,10762
1233_334,51.3629406234074,1.1121539543711962,2026-01-01,0.09248611633660336,0.010925474873141505,Low,10763
853_1121,54.94070303129969,-1.5839826278191278,2026-01-01,0.09248572607091808,0.010925425662681456,Low,10764
859_1112,54.900096979110565,-1.537620086029818,2026-01-01,0.09248572607091808,0.010925425662681456,Low,10765
773_846,53.70550755119864,-2.2021946903960736,2026-01-01,0.09248004197745409,0.010924708931957381,Low,10766
898_394,51.67187113450628,-1.289209019630064,2026-01-01,0.09246906085518695,0.010923324296736639,Low,10767
926_522,52.245806673465005,-1.075021432583108,2026-01-01,0.09246906085518695,0.010923324296736639,Low,10768
992_398,51.68377202581472,-0.6091686402439951,2026-01-01,0.09246906085518695,0.010923324296736639,Low,10769
838_1128,54.97249832356906,-1.7008165797031196,2026-01-01,0.09245979105137311,0.010922155465794208,Low,10770
761_866,53.7951985787725,-2.293711250992456,2026-01-01,0.09241932872889752,0.010917053781599559,Low,10771
1011_297,51.22815299255915,-0.4868862930233352,2026-01-01,0.09240891352153831,0.010915740639063707,Low,10772
898_219,50.88514763103149,-1.3012432725429133,2026-01-01,0.09240891352153831,0.010915740639063707,Low,10773
969_319,51.33054128826728,-0.7849501907945268,2026-01-01,0.09240891352153831,0.010915740639063707,Low,10774
980_296,51.2263166692814,-0.708929293716171,2026-01-01,0.09240891352153831,0.010915740639063707,Low,10775
702_1060,54.66495890444757,-2.7573115629601177,2026-01-01,0.09240619460025251,0.010915397843079046,Low,10776
703_1059,54.66051417852876,-2.749477833121821,2026-01-01,0.09240619460025251,0.010915397843079046,Low,10777
703_1060,54.66500712192249,-2.7495605763907047,2026-01-01,0.09240619460025251,0.010915397843079046,Low,10778
1042_415,51.75532497671687,-0.244758549578021,2026-01-01,0.09238807199177317,0.010913113022549156,Low,10779
1043_417,51.76420343212862,-0.2371683722134861,2026-01-01,0.09238807199177317,0.010913113022549156,Low,10780
1267_329,51.333764901968046,1.354279535577093,2026-01-01,0.09237300156978663,0.010911213062263163,Low,10781
1048_344,51.43563272777233,-0.2138776186037345,2026-01-01,0.09236837667280247,0.01091063000140052,Low,10782
1107_560,52.39867311907204,0.2583893103806874,2026-01-01,0.09234516881479787,0.010907704255572612,Low,10783
1224_316,51.28382735807695,1.0422564823769558,2026-01-01,0.09232460508788924,0.010905111944116235,Low,10784
1232_315,51.27783478762513,1.0992244361305694,2026-01-01,0.09232460508788924,0.010905111944116235,Low,10785
1266_316,51.27562324928812,1.34286895317636,2026-01-01,0.09232460508788924,0.010905111944116235,Low,10786
1273_330,51.3370127375889,1.3975982280077663,2026-01-01,0.09232460508788924,0.010905111944116235,Low,10787
1276_334,51.3543380256967,1.420429996073672,2026-01-01,0.09232460508788924,0.010905111944116235,Low,10788
841_1124,54.95446634779011,-1.6775284925353444,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10789
841_1125,54.95895938598324,-1.6774925427919158,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10790
845_1123,54.94988656561063,-1.6463394039024482,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10791
853_1091,54.80591142937985,-1.5853675477658766,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10792
854_1112,54.900238971478174,-1.5766027440331392,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10793
855_1085,54.77889869092935,-1.5700967147109968,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10794
856_1031,54.536238007710665,-1.5649219934183147,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10795
858_1085,54.77881387555734,-1.546777159448242,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10796
862_942,54.13614847576118,-1.5232071110699177,2026-01-01,0.09232421543440208,0.010905062824363548,Low,10797
799_323,51.354823759651296,-2.004976919665637,2026-01-01,0.09232205557030188,0.010904790552296983,Low,10798
737_804,53.51598998209873,-2.4727459004234675,2026-01-01,0.09231979925427691,0.010904506122588071,Low,10799
635_352,51.47920445803448,-3.1857774495915714,2026-01-01,0.09231644258936371,0.010904082985646461,Low,10800
1021_859,53.752357193828665,-0.3218482294160564,2026-01-01,0.09229669018303396,0.010901593071222777,Low,10801
730_624,52.70679337976092,-2.5157502337373083,2026-01-01,0.09228864892999436,0.010900579444939539,Low,10802
736_618,52.68001030911158,-2.4710603192625045,2026-01-01,0.09228864892999436,0.010900579444939539,Low,10803
738_621,52.69355222938868,-2.4564101759470147,2026-01-01,0.09228864892999436,0.010900579444939539,Low,10804
973_577,52.4897770002883,-0.7238030238873203,2026-01-01,0.09227708179439637,0.010899121393948672,Low,10805
1083_400,51.683126888900446,0.0490016311328558,2026-01-01,0.09223925478307425,0.010894353455332293,Low,10806
706_765,53.33957400636011,-2.703581588893861,2026-01-01,0.09223752035376472,0.01089413484503952,Low,10807
899_412,51.75274103942132,-1.280697354827826,2026-01-01,0.09222663077915716,0.010892762320081701,Low,10808
